ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
69.198.157.198,69-198-157-198.customerip.birch.net.,US,Arlington,,,false,1.00,2017-04-28T20:40:32Z,2015-01-11T15:42:21Z
216.218.228.102,rayservers-gmbh-ag.gigabitethernet3-8.core1.fmt2.he.net.,US,Placerville,,,false,1.00,2017-04-28T20:40:57Z,2015-01-11T15:58:15Z
173.164.99.193,173-164-99-193-Oregon.hfc.comcastbusiness.net.,US,Portland,,,false,1.00,2017-04-28T20:40:59Z,2015-01-11T16:02:14Z
173.212.50.166,ns2.efpsb.k12.la.us.,US,Napoleonville,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T20:41:03Z,2015-01-11T16:03:47Z
74.208.158.246,www.biadiagnostics.com.,US,Wayne,,,false,1.00,2017-04-28T20:41:00Z,2015-01-11T16:04:19Z
199.88.158.1,,US,Livermore,,,false,1.00,2017-04-28T20:41:13Z,2015-01-11T16:08:27Z
173.85.251.137,static-173-85-251-137.dr02.apvy.ny.frontiernet.net.,US,Belle Plaine,dnsmasq-2.40,,false,1.00,2017-04-28T20:41:07Z,2015-01-11T16:09:27Z
97.79.212.254,rrcs-97-79-212-254.sw.biz.rr.com.,US,,,,false,1.00,2017-04-28T20:41:10Z,2015-01-11T16:11:23Z
50.49.248.86,,US,New Berlin,dnsmasq-2.40,,false,1.00,2017-04-28T20:41:21Z,2015-01-11T16:18:26Z
216.119.117.146,mail.westmorelandfinancial.com.,US,Phoenix,,,false,1.00,2017-04-28T20:41:29Z,2015-01-11T16:22:17Z
24.199.248.242,www.usblades.net.,US,Bluffton,,,false,1.00,2017-04-28T20:41:50Z,2015-01-11T16:37:20Z
50.242.165.169,50-242-165-169-static.hfc.comcastbusiness.net.,US,Pompano Beach,dnsmasq-2.72,,false,1.00,2017-04-28T20:42:21Z,2015-01-11T16:56:39Z
68.170.71.4,4.71.170.68.belairinternet.com.,US,Los Angeles,dnsmasq-2.40,,true,1.00,2017-04-28T20:42:29Z,2015-01-11T17:03:01Z
209.211.254.18,,US,Rock Springs,,,false,1.00,2017-04-28T20:42:31Z,2015-01-11T17:04:05Z
66.199.229.218,66-199-229-218.reverse.ezzi.net.,US,Katy,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T20:42:38Z,2015-01-11T17:09:13Z
173.167.73.114,173-167-73-114-centralpennsylvania.hfc.comcastbusiness.net.,US,Bernville,Microsoft DNS 6.1.7601 (1DB14556),,false,1.00,2017-04-28T20:42:57Z,2015-01-11T17:21:07Z
50.242.165.172,50-242-165-172-static.hfc.comcastbusiness.net.,US,Pompano Beach,dnsmasq-2.72,,false,1.00,2017-04-28T20:43:06Z,2015-01-11T17:29:08Z
67.137.39.209,,US,Portland,,,false,1.00,2017-04-28T20:43:12Z,2015-01-11T17:34:28Z
173.11.210.69,173-11-210-69-houston.txt.hfc.comcastbusiness.net.,US,Houston,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:43:18Z,2015-01-11T17:38:36Z
173.12.210.70,173-12-210-70-Savannah.hfc.comcastbusiness.net.,US,,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T20:43:34Z,2015-01-11T17:48:02Z
216.105.176.200,200.176-24.cm.ptn.tftn.static.friendlycity.net.,US,Tifton,,,false,1.00,2017-04-28T20:43:52Z,2015-01-11T17:58:13Z
23.25.53.209,23-25-53-209-static.hfc.comcastbusiness.net.,US,Chicago,dnsmasq-2.40,,true,1.00,2017-04-28T20:43:52Z,2015-01-11T17:59:13Z
50.97.183.226,e2.b7.6132.ip4.static.sl-reverse.com.,US,Dallas,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:43:53Z,2015-01-11T18:00:02Z
